condition,weight,endpoint,mean_of_three_seeds,seed_min,seed_max,seed_values,scope
optnet16_C1,unweighted,additional_recovery/AB/SEX,-0.0033096116854992585,-0.008445756478446254,0.0028683493566721285,"[-0.008445756478446254, -0.004351427934723651, 0.0028683493566721285]",test/kernel_expanded_catchup/budget360
optnet16_C1,unweighted,additional_recovery/A/RAC1P,0.005970846922008037,0.0,0.01791254076602411,"[0.0, 0.0, 0.01791254076602411]",test/kernel_expanded_catchup/budget360
optnet16_C1,unweighted,additional_recovery/AB/RAC1P,0.004792111369238923,0.0,0.01437633410771677,"[0.0, 0.0, 0.01437633410771677]",test/kernel_expanded_catchup/budget360
optnet16_C1,unweighted,absolute_recovery/A/SEX,0.008448519070792545,0.005593968880383882,0.01378100602140131,"[0.005593968880383882, 0.01378100602140131, 0.005970582310592443]",test/kernel_expanded_catchup/budget360
optnet16_C1,unweighted,absolute_recovery/AB/SEX,0.00842138310625721,0.003928654563258083,0.01378100602140131,"[0.003928654563258083, 0.01378100602140131, 0.007554488734112241]",test/kernel_expanded_catchup/budget360
optnet16_C1,unweighted,absolute_recovery/A/RAC1P,0.024706978809873343,0.019209469221045383,0.031361549415637624,"[0.023549917792937025, 0.019209469221045383, 0.031361549415637624]",test/kernel_expanded_catchup/budget360
optnet16_C1,unweighted,absolute_recovery/AB/RAC1P,0.04010236820536539,0.028331732873524418,0.047932866684645914,"[0.047932866684645914, 0.028331732873524418, 0.04404250505792584]",test/kernel_expanded_catchup/budget360
optnet16_C1,person_weighted,utility/same_residence,0.4882391420481724,0.4802897575835399,0.4962175084543683,"[0.4962175084543683, 0.4802897575835399, 0.4882101601066091]",test/kernel_expanded_catchup/budget360
optnet16_C1,person_weighted,additional_recovery/A/SEX,0.0011289261385384701,-0.0014523779645653212,0.004780089667702603,"[5.906671247812856e-05, 0.004780089667702603, -0.0014523779645653212]",test/kernel_expanded_catchup/budget360
optnet16_C1,person_weighted,additional_recovery/AB/SEX,-0.0033184813940962585,-0.005643063042154672,0.00028438431857324975,"[-0.005643063042154672, -0.0045967654587073525, 0.00028438431857324975]",test/kernel_expanded_catchup/budget360
optnet16_C1,person_weighted,additional_recovery/A/RAC1P,0.006711235833898248,0.0,0.020133707501694742,"[0.0, 0.0, 0.020133707501694742]",test/kernel_expanded_catchup/budget360
optnet16_C1,person_weighted,additional_recovery/AB/RAC1P,0.0047478901286501785,0.0,0.014243670385950535,"[0.0, 0.0, 0.014243670385950535]",test/kernel_expanded_catchup/budget360
optnet16_C1,person_weighted,absolute_recovery/A/SEX,0.008225109847180797,0.003525903229358751,0.013254279457790785,"[0.007895146854392854, 0.013254279457790785, 0.003525903229358751]",test/kernel_expanded_catchup/budget360
optnet16_C1,person_weighted,absolute_recovery/AB/SEX,0.007990549379720102,0.004969996376083308,0.013254279457790785,"[0.005747372305286214, 0.013254279457790785, 0.004969996376083308]",test/kernel_expanded_catchup/budget360
optnet16_C1,person_weighted,absolute_recovery/A/RAC1P,0.025106438916547846,0.015627145208457538,0.03199117987164812,"[0.027700991669537878, 0.015627145208457538, 0.03199117987164812]",test/kernel_expanded_catchup/budget360
optnet16_C1,person_weighted,absolute_recovery/AB/RAC1P,0.0389576458865839,0.021643673464573077,0.05275855327981804,"[0.05275855327981804, 0.021643673464573077, 0.04247071091536059]",test/kernel_expanded_catchup/budget360
