seed,role,release,parent,erased,target,candidate_id,family,selected,selected_within_family,auc_selected,fit_support,fit_rows,fit_coverage_complete,selected_epoch,selected_optimizer_steps,optimizer_steps,boosting_iterations,training_row_exposures,row_exposure_min,row_exposure_max,initialization_seed,schedule_seed,schedule_hash,restart_index,restart_seed_offset,fit_runtime_seconds,fallback_reason,warnings,parameters
0,audit,A_binary_bank_leace,A_binary_bank,True,SEX,logistic,logistic,False,True,False,"[1512,1481]",2993,True,,,2,,,,,,,,,,0.0020102920243516564,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,audit,A_binary_bank_leace,A_binary_bank,True,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,0,0,1440,,359160,120,120,1260000,1960000,4e02cab1bd5ea9480b3c2e443a360dc8a4e394967aa6f9b970edfd56bd1a28dc,0,0,0.3234129580669105,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,A_binary_bank_leace,A_binary_bank,True,SEX,mlp_1,mlp,True,True,False,"[1512,1481]",2993,True,10,120,1440,,359160,120,120,1270000,1970000,6cc769913b225cf3feac78e40446d9774de55b0659f45c7ea466d55141d30497,1,10000,0.33885695901699364,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,A_binary_bank_leace,A_binary_bank,True,SEX,hist_gb_20,histgb,False,True,True,"[1512,1481]",2993,True,,,0,150,,,,,,,,,0.011814832920208573,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}"
0,audit,A_binary_bank_leace,A_binary_bank,True,SEX,hist_gb_5,histgb,False,False,False,"[1512,1481]",2993,True,,,0,150,,,,,,,,,0.012123916065320373,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}"
0,audit,A_binary_bank_leace,A_binary_bank,True,RAC1P,logistic,logistic,False,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,,,17,,,,,,,,,,0.008071874966844916,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,audit,A_binary_bank_leace,A_binary_bank,True,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,115,1380,1440,,359160,120,120,1260001,1960001,4feb37a4ba2ffcb1e62967a4ec1573002807f789185042fa1b0662b8ef3dc580,0,0,0.37434266705531627,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,A_binary_bank_leace,A_binary_bank,True,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,40,480,1440,,359160,120,120,1270001,1970001,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1,10000,0.37685408303514123,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,A_binary_bank_leace,A_binary_bank,True,RAC1P,hist_gb_20,histgb,False,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,,,0,150,,,,,,,,,0.08364495798014104,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}"
0,audit,A_binary_bank_leace,A_binary_bank,True,RAC1P,hist_gb_5,histgb,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,,,0,150,,,,,,,,,0.08351462509017438,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}"
0,transfer,B_rich_bank,B_rich_bank,False,same_residence,logistic,logistic,False,True,False,"[500,1548]",2048,True,,,64,,,,,,,,,,0.006160167045891285,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,B_rich_bank,B_rich_bank,False,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,40,320,320,,81920,40,40,1250000,1950000,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,,,0.08240162499714643,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,transfer,B_rich_bank,B_rich_bank,False,commute_over20,logistic,logistic,False,True,False,"[997,1051]",2048,True,,,63,,,,,,,,,,0.005251833004876971,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,B_rich_bank,B_rich_bank,False,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,5,40,320,,81920,40,40,1250001,1950001,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,,,0.08161299990024418,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,transfer,B_rich_bank,B_rich_bank,False,income_binary,logistic,logistic,False,True,False,"[1652,396]",2048,True,,,51,,,,,,,,,,0.00485391600523144,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,B_rich_bank,B_rich_bank,False,income_binary,mlp,mlp,True,True,False,"[1652,396]",2048,True,20,160,320,,81920,40,40,1250002,1950002,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,,,0.08553529204800725,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,transfer,B_rich_bank,B_rich_bank,False,civilian_at_work,logistic,logistic,False,True,False,"[665,1383]",2048,True,,,45,,,,,,,,,,0.004441124969162047,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,B_rich_bank,B_rich_bank,False,civilian_at_work,mlp,mlp,True,True,False,"[665,1383]",2048,True,25,200,320,,81920,40,40,1250003,1950003,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,,,0.09200699999928474,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,transfer,B_rich_bank,B_rich_bank,False,public_coverage,logistic,logistic,True,True,False,"[1531,517]",2048,True,,,67,,,,,,,,,,0.005440375069156289,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,B_rich_bank,B_rich_bank,False,public_coverage,mlp,mlp,False,True,False,"[1531,517]",2048,True,25,200,320,,81920,40,40,1250004,1950004,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,,,0.08271704195067286,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,B_rich_bank,B_rich_bank,False,SEX,logistic,logistic,False,True,False,"[1512,1481]",2993,True,,,63,,,,,,,,,,0.006376125034876168,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,audit,B_rich_bank,B_rich_bank,False,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,40,480,1440,,359160,120,120,1260000,1960000,4e02cab1bd5ea9480b3c2e443a360dc8a4e394967aa6f9b970edfd56bd1a28dc,0,0,0.3378943749703467,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,B_rich_bank,B_rich_bank,False,SEX,mlp_1,mlp,True,True,True,"[1512,1481]",2993,True,70,840,1440,,359160,120,120,1270000,1970000,6cc769913b225cf3feac78e40446d9774de55b0659f45c7ea466d55141d30497,1,10000,0.34530970791820437,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,B_rich_bank,B_rich_bank,False,SEX,hist_gb_20,histgb,False,False,False,"[1512,1481]",2993,True,,,0,150,,,,,,,,,0.0970461250981316,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}"
0,audit,B_rich_bank,B_rich_bank,False,SEX,hist_gb_5,histgb,False,True,False,"[1512,1481]",2993,True,,,0,150,,,,,,,,,0.09906124998815358,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}"
0,audit,B_rich_bank,B_rich_bank,False,RAC1P,logistic,logistic,False,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,,,157,,,,,,,,,,0.03838991606608033,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,audit,B_rich_bank,B_rich_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,30,360,1440,,359160,120,120,1260001,1960001,4feb37a4ba2ffcb1e62967a4ec1573002807f789185042fa1b0662b8ef3dc580,0,0,0.41145754198078066,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,B_rich_bank,B_rich_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,25,300,1440,,359160,120,120,1270001,1970001,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1,10000,0.4092585420003161,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,B_rich_bank,B_rich_bank,False,RAC1P,hist_gb_20,histgb,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,,,0,150,,,,,,,,,0.7271506250835955,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}"
0,audit,B_rich_bank,B_rich_bank,False,RAC1P,hist_gb_5,histgb,False,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,,,0,150,,,,,,,,,0.7851089589530602,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}"
0,transfer,B_rich_bank_leace,B_rich_bank,True,same_residence,logistic,logistic,False,True,False,"[500,1548]",2048,True,,,27,,,,,,,,,,0.0039001250406727195,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,B_rich_bank_leace,B_rich_bank,True,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,40,320,320,,81920,40,40,1250000,1950000,ee8943e0edcf48411f3bceff950844d10bddb587d934cfe598206c2e39e4ebeb,,,0.08994391595479101,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,transfer,B_rich_bank_leace,B_rich_bank,True,commute_over20,logistic,logistic,True,True,False,"[997,1051]",2048,True,,,25,,,,,,,,,,0.003305041929706931,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,B_rich_bank_leace,B_rich_bank,True,commute_over20,mlp,mlp,False,True,False,"[997,1051]",2048,True,5,40,320,,81920,40,40,1250001,1950001,8805fac2d66d18ece39f39efbe46665308c5377a171fac16e4fc1d57a4cc355c,,,0.07983812503516674,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,transfer,B_rich_bank_leace,B_rich_bank,True,income_binary,logistic,logistic,False,True,False,"[1652,396]",2048,True,,,27,,,,,,,,,,0.003384500043466687,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,B_rich_bank_leace,B_rich_bank,True,income_binary,mlp,mlp,True,True,False,"[1652,396]",2048,True,35,280,320,,81920,40,40,1250002,1950002,d0246d72e4afef6aed82b4e92294b78ac1a27b6cf348120b32689bf0fff4986e,,,0.08256208407692611,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,transfer,B_rich_bank_leace,B_rich_bank,True,civilian_at_work,logistic,logistic,False,True,False,"[665,1383]",2048,True,,,25,,,,,,,,,,0.0035859589697793126,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,B_rich_bank_leace,B_rich_bank,True,civilian_at_work,mlp,mlp,True,True,False,"[665,1383]",2048,True,35,280,320,,81920,40,40,1250003,1950003,c3edb72c9dc0b01d3bce341c953834c87a3758e43c71ce432f1e36c95017a8ba,,,0.08903891604859382,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,transfer,B_rich_bank_leace,B_rich_bank,True,public_coverage,logistic,logistic,False,True,False,"[1531,517]",2048,True,,,23,,,,,,,,,,0.0033643749775364995,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,transfer,B_rich_bank_leace,B_rich_bank,True,public_coverage,mlp,mlp,True,True,False,"[1531,517]",2048,True,40,320,320,,81920,40,40,1250004,1950004,bc25b611873303f1cd65073a1c59a4016c970a12ca7d98a6b4d830db56209a35,,,0.08432820800226182,,,"{""hidden"":[64,32],""epochs"":40,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,B_rich_bank_leace,B_rich_bank,True,SEX,logistic,logistic,False,True,False,"[1512,1481]",2993,True,,,21,,,,,,,,,,0.0036091660149395466,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,audit,B_rich_bank_leace,B_rich_bank,True,SEX,mlp_0,mlp,False,False,False,"[1512,1481]",2993,True,35,420,1440,,359160,120,120,1260000,1960000,4e02cab1bd5ea9480b3c2e443a360dc8a4e394967aa6f9b970edfd56bd1a28dc,0,0,0.33869758306536824,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,B_rich_bank_leace,B_rich_bank,True,SEX,mlp_1,mlp,True,True,True,"[1512,1481]",2993,True,50,600,1440,,359160,120,120,1270000,1970000,6cc769913b225cf3feac78e40446d9774de55b0659f45c7ea466d55141d30497,1,10000,0.3433909999439493,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,B_rich_bank_leace,B_rich_bank,True,SEX,hist_gb_20,histgb,False,False,False,"[1512,1481]",2993,True,,,0,150,,,,,,,,,0.10015204199589789,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":20,""early_stopping"":false}"
0,audit,B_rich_bank_leace,B_rich_bank,True,SEX,hist_gb_5,histgb,False,True,False,"[1512,1481]",2993,True,,,0,150,,,,,,,,,0.11092633299995214,,,"{""max_iter"":150,""max_leaf_nodes"":15,""learning_rate"":0.1,""l2_regularization"":1.0,""min_samples_leaf"":5,""early_stopping"":false}"
0,audit,B_rich_bank_leace,B_rich_bank,True,RAC1P,logistic,logistic,False,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,,,129,,,,,,,,,,0.033015666995197535,,,"{""C"":1.0,""max_iter"":500,""solver"":""lbfgs"",""tol"":0.0001}"
0,audit,B_rich_bank_leace,B_rich_bank,True,RAC1P,mlp_0,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,40,480,1440,,359160,120,120,1260001,1960001,4feb37a4ba2ffcb1e62967a4ec1573002807f789185042fa1b0662b8ef3dc580,0,0,0.4158431669929996,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
0,audit,B_rich_bank_leace,B_rich_bank,True,RAC1P,mlp_1,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,40,480,1440,,359160,120,120,1270001,1970001,e0f315278fc37aac9cee4c2fa939bed733cd775615c4604ab2b9f2565ab9d981,1,10000,0.4327207909664139,,,"{""hidden"":[64,32],""epochs"":120,""batch_size"":256,""lr"":0.001,""validation_interval"":5,""weight_decay"":0.0}"
