seed,role,release,parent,erased,target,candidate_id,family,selected,selected_within_family,auc_selected,fit_support,fit_rows,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,total_optimizer_steps,total_training_row_exposures
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,50,600,1.2535240417574183,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,55,660,1.2523063345237941,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,60,720,1.2521249010738509,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,65,780,1.250892193668682,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,70,840,1.2518695958691362,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,75,900,1.2507024164147398,True,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,80,960,1.2527674285900823,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,85,1020,1.2529283024193012,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,90,1080,1.251783414646333,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,95,1140,1.25283477676514,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,100,1200,1.2531434027640471,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,105,1260,1.2520071425548864,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,110,1320,1.2520272118542393,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,115,1380,1.2532432769148472,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_0,mlp,False,False,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,120,1440,1.2520176066451514,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,0,0,2.1637249351734487,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,5,60,1.3217606133829458,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,10,120,1.2642286826710492,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,15,180,1.2572218579671468,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,20,240,1.2547600738192148,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,25,300,1.2528846451759788,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,30,360,1.253726579837359,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,35,420,1.2523245691115077,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,40,480,1.2505385239387237,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,45,540,1.251201759470496,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,50,600,1.2513562578225277,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,55,660,1.2517544325696996,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,60,720,1.2510100997906695,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,65,780,1.251237256170556,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,70,840,1.2506073455678044,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,75,900,1.2507238139532835,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,80,960,1.2501393398782168,True,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,85,1020,1.2503784294213132,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,90,1080,1.2503835620121404,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,95,1140,1.250974250542353,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,100,1200,1.250666063974881,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,105,1260,1.2513908687558266,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,110,1320,1.251650547883255,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,115,1380,1.251552812181059,False,1440,359160
0,audit,A_binary_bank,A_binary_bank,False,RAC1P,mlp_1,mlp,True,True,False,"[1704,173,17,0,4,461,22,424,188]",2993,False,120,1440,1.2514356748692201,False,1440,359160
0,transfer,A_binary_bank_leace,A_binary_bank,True,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,0,0,0.7525660640927068,False,320,81920
0,transfer,A_binary_bank_leace,A_binary_bank,True,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,5,40,0.5979606283450123,False,320,81920
0,transfer,A_binary_bank_leace,A_binary_bank,True,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,10,80,0.547388337054198,False,320,81920
0,transfer,A_binary_bank_leace,A_binary_bank,True,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,15,120,0.5448788366765422,True,320,81920
0,transfer,A_binary_bank_leace,A_binary_bank,True,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,20,160,0.5450474147794823,False,320,81920
0,transfer,A_binary_bank_leace,A_binary_bank,True,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,25,200,0.5449706783034268,False,320,81920
0,transfer,A_binary_bank_leace,A_binary_bank,True,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,30,240,0.5451046058747303,False,320,81920
0,transfer,A_binary_bank_leace,A_binary_bank,True,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,35,280,0.5450172323211696,False,320,81920
0,transfer,A_binary_bank_leace,A_binary_bank,True,same_residence,mlp,mlp,True,True,False,"[500,1548]",2048,True,40,320,0.5449905525776767,False,320,81920
0,transfer,A_binary_bank_leace,A_binary_bank,True,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,0,0,0.6951076339356981,False,320,81920
0,transfer,A_binary_bank_leace,A_binary_bank,True,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,5,40,0.693897734457925,False,320,81920
0,transfer,A_binary_bank_leace,A_binary_bank,True,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,10,80,0.6940744512357668,False,320,81920
0,transfer,A_binary_bank_leace,A_binary_bank,True,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,15,120,0.6937054613573489,True,320,81920
0,transfer,A_binary_bank_leace,A_binary_bank,True,commute_over20,mlp,mlp,True,True,False,"[997,1051]",2048,True,20,160,0.6940423637010569,False,320,81920
