beta,seed,release,split,rank,rank_tolerance,metric,coordinate,value
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,7,4.853851070267327e-16
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,8,8.327433085073135e-16
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,9,1.9060060333413268e-15
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,10,8.013033179591704e-16
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,11,7.41522062894782e-16
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,12,1.7647889248297715e-15
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,13,5.467895851116998e-16
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,14,5.571441111628178e-16
beta_0p1,0,I,development_evaluation,17,1e-12,affine_per_coordinate_mse,15,1.2924538706449035e-15
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,0,0.9550203339797398
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,1,0.959698676715441
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,2,1.0152728694883875
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,3,0.9494723695191853
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,4,1.0605257513904214
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,5,1.0181820921777558
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,6,1.0772781553741217
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,7,1.046307267602392
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,8,0.9857328381959477
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,9,1.0532985840987015
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,10,1.0033313716106878
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,11,1.0244540302042826
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,12,1.0166150195757857
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,13,0.9412144551957943
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,14,1.0166748977511841
beta_0p1,0,I,development_evaluation,17,1e-12,prior_per_coordinate_mse,15,1.0061772810145502
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,0,0.8393480032682682
beta_0p1,0,beta_0p1_W,fit,17,1e-12,direct_per_coordinate_mse,1,0.5250559141660646
