seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,epoch,optimizer_steps,validation_log_loss,checkpoint_selected,validation_auroc,validation_coverage_complete
0,transfer,beta_0p1_C_warmup_only,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,35,280,0.30058824268646706,True,,
0,transfer,beta_0p1_C_warmup_only,income_binary,mlp,mlp,False,False,True,False,,False,False,2048,"[1652,396]",True,40,320,0.30224818061427805,False,,
0,transfer,beta_0p1_C_warmup_only,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,0,0,0.6858262111872861,False,,
0,transfer,beta_0p1_C_warmup_only,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,5,40,0.33166623275731977,False,,
0,transfer,beta_0p1_C_warmup_only,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,10,80,0.3075427584167414,False,,
0,transfer,beta_0p1_C_warmup_only,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,15,120,0.30667093788337696,True,,
0,transfer,beta_0p1_C_warmup_only,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,20,160,0.30716632313091896,False,,
0,transfer,beta_0p1_C_warmup_only,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,25,200,0.30877837292408067,False,,
0,transfer,beta_0p1_C_warmup_only,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,30,240,0.3110402177132142,False,,
0,transfer,beta_0p1_C_warmup_only,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,35,280,0.31291289273090966,False,,
0,transfer,beta_0p1_C_warmup_only,civilian_at_work,mlp,mlp,False,False,True,False,,False,False,2048,"[665,1383]",True,40,320,0.3155036286286483,False,,
0,transfer,beta_0p1_C_warmup_only,public_coverage,mlp,mlp,True,True,True,True,,False,False,2048,"[1531,517]",True,0,0,0.6387924634813454,False,,
0,transfer,beta_0p1_C_warmup_only,public_coverage,mlp,mlp,True,True,True,True,,False,False,2048,"[1531,517]",True,5,40,0.50953165459484,False,,
0,transfer,beta_0p1_C_warmup_only,public_coverage,mlp,mlp,True,True,True,True,,False,False,2048,"[1531,517]",True,10,80,0.49436693885346433,False,,
0,transfer,beta_0p1_C_warmup_only,public_coverage,mlp,mlp,True,True,True,True,,False,False,2048,"[1531,517]",True,15,120,0.48892537166878536,False,,
0,transfer,beta_0p1_C_warmup_only,public_coverage,mlp,mlp,True,True,True,True,,False,False,2048,"[1531,517]",True,20,160,0.4877413004543208,False,,
