comparison,left,right,role,target,selector,split,metric,n_seeds,n_defined,complete,mean,sample_sd,per_seed
warmup,beta_0p1_W,I,transfer,same_residence,primary,validation_person_weighted,log_loss,3,3,True,-0.0010510252819571446,0.005778755648727725,"{""0"":-0.0070954710477851846,""1"":-0.00047676550858444244,""2"":0.004419160710498193}"
warmup,beta_0p1_W,I,transfer,same_residence,primary,development_evaluation_person_weighted,log_loss,3,3,True,-0.0029853340123227414,0.0014526763454140066,"{""0"":-0.004658539942453299,""1"":-0.0020459935124547135,""2"":-0.002251468582060212}"
warmup,beta_0p1_W,I,transfer,same_residence,family:logistic,validation,log_loss,3,3,True,-0.0005791953121462671,0.003130236214153253,"{""0"":-0.004189275652020763,""1"":0.001380339877565806,""2"":0.0010713498380161557}"
warmup,beta_0p1_W,I,transfer,same_residence,family:logistic,development_evaluation,log_loss,3,3,True,-0.0001345754730424642,0.00027327882652039163,"{""0"":-4.213704127842277e-05,""1"":8.049570369283998e-05,""2"":-0.0004420850815418098}"
warmup,beta_0p1_W,I,transfer,same_residence,family:logistic,validation_person_weighted,log_loss,3,3,True,-0.0007015491688940334,0.005236721233073286,"{""0"":-0.006047042708595851,""1"":-0.00047676550858444244,""2"":0.004419160710498193}"
warmup,beta_0p1_W,I,transfer,same_residence,family:logistic,development_evaluation_person_weighted,log_loss,3,3,True,-0.002547947996501876,0.0006990547322988344,"{""0"":-0.003346381894990702,""1"":-0.0020459935124547135,""2"":-0.002251468582060212}"
warmup,beta_0p1_W,I,transfer,same_residence,family:mlp,validation,log_loss,3,3,True,-0.002852295943036672,0.004515940363231933,"{""0"":-0.007797301648238997,""1"":0.0010533525043679992,""2"":-0.0018129386852390184}"
warmup,beta_0p1_W,I,transfer,same_residence,family:mlp,development_evaluation,log_loss,3,3,True,-0.001329503000974323,0.001663085958667688,"{""0"":-0.0019191571754975656,""1"":0.0005480703931122766,""2"":-0.0026174222205376796}"
warmup,beta_0p1_W,I,transfer,same_residence,family:mlp,validation_person_weighted,log_loss,3,3,True,-0.001597499459551029,0.006876165211366407,"{""0"":-0.009468147719411735,""1"":0.0014315576064465318,""2"":0.0032440917343121156}"
warmup,beta_0p1_W,I,transfer,same_residence,family:mlp,development_evaluation_person_weighted,log_loss,3,3,True,-0.002474409617781855,0.0043791226149609,"{""0"":-0.006863496923954382,""1"":0.0018946798133827603,""2"":-0.002454411742773943}"
warmup,beta_0p1_W,I,transfer,commute_over20,primary,validation,log_loss,3,3,True,-0.0049477818103001265,0.003820445114239928,"{""0"":-0.00881530601436109,""1"":-0.0048518154719963125,""2"":-0.0011762239445429756}"
warmup,beta_0p1_W,I,transfer,commute_over20,primary,development_evaluation,log_loss,3,3,True,-0.00011070760808033302,0.00022923803555065483,"{""0"":-5.6778446390515214e-05,""1"":8.675778029165748e-05,""2"":-0.0003621021581421413}"
warmup,beta_0p1_W,I,transfer,commute_over20,primary,validation_person_weighted,log_loss,3,3,True,-0.0033017804955706906,0.003689096658668747,"{""0"":-0.006415615877256808,""1"":-0.00426229325437677,""2"":0.0007725676449215069}"
warmup,beta_0p1_W,I,transfer,commute_over20,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.0015638259546277105,0.0012799400086418362,"{""0"":0.0004614394130508792,""1"":0.0012624910086193042,""2"":0.0029675474422129478}"
warmup,beta_0p1_W,I,transfer,commute_over20,family:logistic,validation,log_loss,3,3,True,-0.005458158169718989,0.004615076567661646,"{""0"":-0.010346435092617678,""1"":-0.0048518154719963125,""2"":-0.0011762239445429756}"
warmup,beta_0p1_W,I,transfer,commute_over20,family:logistic,development_evaluation,log_loss,3,3,True,-0.00010922516127790753,0.0002297749142717782,"{""0"":-5.233110598323876e-05,""1"":8.675778029165748e-05,""2"":-0.0003621021581421413}"
warmup,beta_0p1_W,I,transfer,commute_over20,family:logistic,validation_person_weighted,log_loss,3,3,True,-0.004171277183316113,0.004898970940787815,"{""0"":-0.009024105940493077,""1"":-0.00426229325437677,""2"":0.0007725676449215069}"
warmup,beta_0p1_W,I,transfer,commute_over20,family:logistic,development_evaluation_person_weighted,log_loss,3,3,True,0.0008677843294382,0.0023224101742952237,"{""0"":-0.001626685462517652,""1"":0.0012624910086193042,""2"":0.0029675474422129478}"
warmup,beta_0p1_W,I,transfer,commute_over20,family:mlp,validation,log_loss,3,3,True,-0.00366557063663131,0.002125508959787331,"{""0"":-0.005478863935646561,""1"":-0.004191321940538173,""2"":-0.0013265260337091966}"
warmup,beta_0p1_W,I,transfer,commute_over20,family:mlp,development_evaluation,log_loss,3,3,True,-0.0005417810380752656,0.0027629831071780643,"{""0"":-0.0003873411793344772,""1"":0.0021407430239556158,""2"":-0.0033787449588469354}"
warmup,beta_0p1_W,I,transfer,commute_over20,family:mlp,validation_person_weighted,log_loss,3,3,True,-0.0027990930840560146,0.0013281446513888039,"{""0"":-0.0035416421939949982,""1"":-0.0035899002084487375,""2"":-0.0012657368497243082}"
warmup,beta_0p1_W,I,transfer,commute_over20,family:mlp,development_evaluation_person_weighted,log_loss,3,3,True,0.0009993030856982517,0.0015673851738221595,"{""0"":0.00018099426589812673,""1"":0.002806482634748364,""2"":1.0432356448264457e-05}"
warmup,beta_0p1_W,I,transfer,income_binary,primary,validation,log_loss,3,3,True,-0.010863664205478074,0.007415719051266129,"{""0"":-0.017912751147061257,""1"":-0.011549307074364634,""2"":-0.0031289343950083315}"
warmup,beta_0p1_W,I,transfer,income_binary,primary,development_evaluation,log_loss,3,3,True,-0.007620626634552541,0.0005152449314296384,"{""0"":-0.00801801616106862,""1"":-0.007038475860094484,""2"":-0.007805387882494519}"
warmup,beta_0p1_W,I,transfer,income_binary,primary,validation_person_weighted,log_loss,3,3,True,-0.013150832921927738,0.007901182761952381,"{""0"":-0.019207061329199027,""1"":-0.016032055580156857,""2"":-0.004213381856427334}"
warmup,beta_0p1_W,I,transfer,income_binary,primary,development_evaluation_person_weighted,log_loss,3,3,True,-0.006763203105475124,0.0008729368909473059,"{""0"":-0.007670689469549075,""1"":-0.005929499149355311,""2"":-0.006689420697520987}"
