seed,role,release,target,candidate_id,family,selected,independent_selected,selected_within_family,auc_selected,audit_budget,reused_reference,diagnostic_only,fit_rows,fit_support,fit_coverage_complete,split,class_index,support,weighted_support,prevalence,predicted_support,predicted_weight,precision,recall,f1,auroc,recall_defined,auroc_defined,original_census_code,fit_class_support,schema_coverage_complete
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,development_evaluation_person_weighted,0,959,110010.0,0.48558602698730086,802,92065.0,0.5495465160484441,0.4599036451231706,0.500744772980329,0.5692782143760708,True,True,,997,True
0,transfer,beta_0p1_W,commute_over20,mlp,mlp,False,False,True,False,,False,False,2048,"[997,1051]",True,development_evaluation_person_weighted,1,1012,116541.0,0.5144139730126991,1169,134486.0,0.558199366476808,0.644150985490085,0.5981029929051457,0.5692782143760708,True,True,,1051,True
0,transfer,beta_0p1_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,validation,0,2434,2434.0,0.8156836461126006,2526,2526.0,0.9026128266033254,0.9367296631059984,0.9193548387096774,0.9053813401060732,True,True,,1652,True
0,transfer,beta_0p1_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,validation,1,550,550.0,0.18431635388739948,458,458.0,0.6637554585152838,0.5527272727272727,0.6031746031746031,0.9053813401060731,True,True,,396,True
0,transfer,beta_0p1_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,development_evaluation,0,2439,2439.0,0.817907444668008,2553,2553.0,0.8993341167254211,0.941369413694137,0.9198717948717948,0.901780233271946,True,True,,1652,True
0,transfer,beta_0p1_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,development_evaluation,1,543,543.0,0.18209255533199195,429,429.0,0.6666666666666666,0.5267034990791897,0.588477366255144,0.9017802332719459,True,True,,396,True
0,transfer,beta_0p1_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,validation_person_weighted,0,2434,288007.0,0.8266798702603404,2526,302245.0,0.9024367648761766,0.9470498980927546,0.9242052547047702,0.9101242507762692,True,True,,1652,True
0,transfer,beta_0p1_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,validation_person_weighted,1,550,60383.0,0.17332012973965957,458,46145.0,0.669519991331672,0.5116506301442459,0.5800352958846501,0.9101242507762692,True,True,,396,True
0,transfer,beta_0p1_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,development_evaluation_person_weighted,0,2439,273575.0,0.8187411900963965,2553,289469.0,0.8919711609878778,0.9437923786895732,0.9171503470421495,0.8938771562188845,True,True,,1652,True
0,transfer,beta_0p1_W,income_binary,logistic,logistic,True,True,True,True,,False,False,2048,"[1652,396]",True,development_evaluation_person_weighted,1,543,60566.0,0.18125880990360357,429,44672.0,0.6557799068767909,0.48368721725060265,0.5567380603964347,0.8938771562188845,True,True,,396,True
