release,role,target,selector,split,metric,n_seeds,n_defined,complete,mean,sample_sd
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation_person_weighted,macro_auroc,3,3,True,0.8973397160519836,0.007229144649994076
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation_person_weighted,accuracy,3,3,True,0.8634011019498854,0.006228628788130101
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation_person_weighted,balanced_accuracy,3,3,True,0.7264097145775159,0.005109156698893305
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation_person_weighted,observed_balanced_accuracy,3,3,True,0.7264097145775159,0.005109156698893305
beta_0p1_C_warmup_only,transfer,income_binary,primary,validation_person_weighted,observed_macro_auroc,3,3,True,0.8973397160519836,0.007229144649994076
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.3022625894326085,0.011252191660445084
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation_person_weighted,auroc,3,3,True,0.8961171185085985,0.009867564605550421
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation_person_weighted,macro_auroc,3,3,True,0.8961171185085985,0.009867564605550421
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation_person_weighted,accuracy,3,3,True,0.8653143696327544,0.009845188468102612
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation_person_weighted,balanced_accuracy,3,3,True,0.7251444670728315,0.016533441717092923
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation_person_weighted,observed_balanced_accuracy,3,3,True,0.7251444670728315,0.016533441717092923
beta_0p1_C_warmup_only,transfer,income_binary,primary,development_evaluation_person_weighted,observed_macro_auroc,3,3,True,0.8961171185085985,0.009867564605550421
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation,log_loss,3,3,True,0.29416672770958013,0.007397624652262043
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation,auroc,3,3,True,0.8925998986085324,0.0069506653917224106
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation,macro_auroc,3,3,True,0.8925998166546468,0.006950565373972913
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation,accuracy,3,3,True,0.8957820819910428,0.0014172094548771002
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation,balanced_accuracy,3,3,True,0.8444775241658976,0.010454278939615612
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation,observed_balanced_accuracy,3,3,True,0.8444775241658976,0.010454278939615612
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation,observed_macro_auroc,3,3,True,0.8925998166546468,0.006950565373972913
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation,log_loss,3,3,True,0.2786108525118851,0.007877952340395164
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation,auroc,3,3,True,0.903932443397802,0.0014262409762153204
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation,macro_auroc,3,3,True,0.9039324433978021,0.0014262409762153833
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation,accuracy,3,3,True,0.9012731078771457,0.006690664886317127
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation,balanced_accuracy,3,3,True,0.8566188832141639,0.009749977940789151
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation,observed_balanced_accuracy,3,3,True,0.8566188832141639,0.009749977940789151
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation,observed_macro_auroc,3,3,True,0.9039324433978021,0.0014262409762153833
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation_person_weighted,log_loss,3,3,True,0.2951291805173795,0.005789460858817261
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation_person_weighted,auroc,3,3,True,0.8845082653913684,0.006239069518751028
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation_person_weighted,macro_auroc,3,3,True,0.8845081960492042,0.00623907809401317
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation_person_weighted,accuracy,3,3,True,0.8985639636444885,0.001840244222981209
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation_person_weighted,balanced_accuracy,3,3,True,0.8425637310456664,0.009459058686382088
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation_person_weighted,observed_balanced_accuracy,3,3,True,0.8425637310456664,0.009459058686382088
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,validation_person_weighted,observed_macro_auroc,3,3,True,0.8845081960492042,0.00623907809401317
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation_person_weighted,log_loss,3,3,True,0.2688526800423218,0.012108702179563925
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation_person_weighted,auroc,3,3,True,0.8981529182009241,0.004353163162600951
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation_person_weighted,macro_auroc,3,3,True,0.8981529182009241,0.0043531631626008965
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation_person_weighted,accuracy,3,3,True,0.9090786066822856,0.008768804622991807
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation_person_weighted,balanced_accuracy,3,3,True,0.8565673007305745,0.01525038933736216
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation_person_weighted,observed_balanced_accuracy,3,3,True,0.8565673007305745,0.01525038933736216
beta_0p1_C_warmup_only,transfer,civilian_at_work,primary,development_evaluation_person_weighted,observed_macro_auroc,3,3,True,0.8981529182009241,0.0043531631626008965
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation,log_loss,3,3,True,0.483690321570719,0.008636163101890302
beta_0p1_C_warmup_only,transfer,public_coverage,primary,validation,auroc,3,3,True,0.7357013621128935,0.00730293080622711
