seed,release,target,split,saved_log_loss,saved_candidate,fresh_log_loss,fresh_candidate,catchup_log_loss,catchup_candidate,inclusive_log_loss,inclusive_candidate,catchup_minus_saved,catchup_minus_fresh
0,beta_0p1_C_persistent,RAC1P,validation_person_weighted,1.2436707014816095,saved_adversary,1.2261601717289206,mlp_0,1.227689476542363,catchup,1.227689476542363,catchup,-0.015981224939246585,0.0015293048134423781
0,beta_0p1_C_persistent,RAC1P,development_evaluation_person_weighted,1.23305737710469,saved_adversary,1.1934985039314008,mlp_0,1.2118530296114705,catchup,1.2118530296114705,catchup,-0.021204347493219533,0.018354525680069678
0,beta_0p1_D_persistent,SEX,validation,0.6716056620264839,saved_adversary,0.6520147562902648,mlp_1,0.6545275925581926,catchup,0.6520147562902648,mlp_1,-0.017078069468291268,0.002512836267927754
0,beta_0p1_D_persistent,SEX,development_evaluation,0.6775511319174438,saved_adversary,0.660472189647291,mlp_1,0.6668424490153758,catchup,0.660472189647291,mlp_1,-0.010708682902067945,0.006370259368084774
0,beta_0p1_D_persistent,SEX,validation_person_weighted,0.6724531383905332,saved_adversary,0.6506147993599567,mlp_1,0.6561303242156685,catchup,0.6506147993599567,mlp_1,-0.016322814174864697,0.005515524855711829
0,beta_0p1_D_persistent,SEX,development_evaluation_person_weighted,0.6724244039788538,saved_adversary,0.6622922788083876,mlp_1,0.6630109233006829,catchup,0.6622922788083876,mlp_1,-0.009413480678170938,0.0007186444922953061
0,beta_0p1_D_persistent,RAC1P,validation,1.2292145382085142,saved_adversary,1.2262469970427028,mlp_0,1.2191807613429297,catchup,1.2191807613429297,catchup,-0.010033776865584487,-0.007066235699773049
0,beta_0p1_D_persistent,RAC1P,development_evaluation,1.2448675653380645,saved_adversary,1.2169176074837516,mlp_0,1.2238363442697084,catchup,1.2238363442697084,catchup,-0.021031221068356087,0.0069187367859568916
0,beta_0p1_D_persistent,RAC1P,validation_person_weighted,1.243277602175733,saved_adversary,1.2276081845281832,mlp_0,1.2253628006684272,catchup,1.2253628006684272,catchup,-0.017914801507305844,-0.002245383859756034
0,beta_0p1_D_persistent,RAC1P,development_evaluation_person_weighted,1.2379921374173926,saved_adversary,1.193544533564643,mlp_0,1.2100502403360367,catchup,1.2100502403360367,catchup,-0.02794189708135586,0.016505706771393625
0,beta_1_C_warmup_only,SEX,validation,0.6911100197777662,saved_adversary,0.6508818608204316,mlp_1,0.6700522703056364,catchup,0.6508818608204316,mlp_1,-0.021057749472129794,0.019170409485204765
0,beta_1_C_warmup_only,SEX,development_evaluation,0.7053639969116974,saved_adversary,0.6621086176104138,mlp_1,0.6852308046455624,catchup,0.6621086176104138,mlp_1,-0.02013319226613497,0.023122187035148567
