beta,seed,release,split,rank,rank_tolerance,rows,direct_mean_mse,affine_mean_mse,prior_mean_mse
beta_0p1,1,beta_0p1_C_persistent,source_validation,17,1e-12,3010,0.17083319143240355,0.11514740202761539,0.9873457505540115
beta_0p1,1,beta_0p1_C_persistent,development_evaluation,17,1e-12,3015,0.16683262962969153,0.11545224096912496,0.9774213066931422
beta_0p1,1,beta_0p1_D_persistent,fit,17,1e-12,10428,0.17481699517535798,0.12134051071842848,0.9999999999999988
beta_0p1,1,beta_0p1_D_persistent,source_validation,17,1e-12,3010,0.17460296249752139,0.12015009185689429,0.9873457505540115
beta_0p1,1,beta_0p1_D_persistent,development_evaluation,17,1e-12,3015,0.1707645591789974,0.12082726762293738,0.9774213066931422
beta_0p1,2,I,fit,17,1e-12,10551,1.726161944618244e-15,1.1690530608353506e-15,1.0000000000000004
beta_0p1,2,I,source_validation,17,1e-12,2979,1.7023598303849238e-15,1.153598584384886e-15,0.9849200195328053
beta_0p1,2,I,development_evaluation,17,1e-12,2979,1.7483490510602918e-15,1.192205936298004e-15,1.0155605102798333
beta_0p1,2,beta_0p1_W,fit,17,1e-12,10551,0.2346333566837919,0.10840776558150785,1.0000000000000004
beta_0p1,2,beta_0p1_W,source_validation,17,1e-12,2979,0.22904202012096223,0.10408615200159539,0.9849200195328053
beta_0p1,2,beta_0p1_W,development_evaluation,17,1e-12,2979,0.23140982016661632,0.10916571162961097,1.0155605102798333
beta_0p1,2,beta_0p1_C_warmup_only,fit,17,1e-12,10551,1.1280968238802047,0.3534809811665407,1.0000000000000004
beta_0p1,2,beta_0p1_C_warmup_only,source_validation,17,1e-12,2979,1.100903702148155,0.34422656486846154,0.9849200195328053
beta_0p1,2,beta_0p1_C_warmup_only,development_evaluation,17,1e-12,2979,1.1248603782359734,0.3617858650473829,1.0155605102798333
beta_0p1,2,beta_0p1_D_warmup_only,fit,17,1e-12,10551,1.7106864685288448,0.41835836770902457,1.0000000000000004
beta_0p1,2,beta_0p1_D_warmup_only,source_validation,17,1e-12,2979,1.67011128343962,0.4106483480979147,0.9849200195328053
beta_0p1,2,beta_0p1_D_warmup_only,development_evaluation,17,1e-12,2979,1.6938050140474479,0.42534356228662806,1.0155605102798333
beta_0p1,2,beta_0p1_C_persistent,fit,17,1e-12,10551,0.1660368917863822,0.11250592500879025,1.0000000000000004
beta_0p1,2,beta_0p1_C_persistent,source_validation,17,1e-12,2979,0.16262280588038253,0.10953278030785892,0.9849200195328053
beta_0p1,2,beta_0p1_C_persistent,development_evaluation,17,1e-12,2979,0.16500833477985638,0.1136505681430041,1.0155605102798333
beta_0p1,2,beta_0p1_D_persistent,fit,17,1e-12,10551,0.16762113054991762,0.11387476271439254,1.0000000000000004
beta_0p1,2,beta_0p1_D_persistent,source_validation,17,1e-12,2979,0.16408888794195617,0.11055743786710291,0.9849200195328053
