beta,seed,release,point,source_mapper_l2,source_first_weight_l2,reconstruction_mapper_l2,reconstruction_first_weight_l2,base_mapper_l2,base_first_weight_l2,protection_mapper_l2,protection_first_weight_l2,base_loss,normalized_adversary_ce,protected_objective,protection_source_decoder_gradient_l2,protection_source_decoder_gradients_all_absent,preservation_mapper_l2,applied_preservation_mapper_l2,preservation_loss,preservation_coefficient,preservation_nonmapper_gradients_all_absent,source_coefficient,reconstruction_coefficient,protection_coefficient,applied_protection_mapper_l2,training_state_unchanged,torch_rng_unchanged,optimizer_steps
beta_1,1,beta_1_D_warmup_only,shared_fork,0.18243440985679626,0.1001742035150528,0.040138643234968185,0.014942740090191364,0.18926890194416046,0.10161186754703522,0.03695090487599373,0.014009636826813221,0.4002935290336609,0.9310418963432312,0.30718934535980225,0.0,True,0.13829074800014496,0.0,0.013044720515608788,0.0,True,1.0,0.1,-0.1,0.03695090487599373,True,True,0
beta_1,1,beta_1_D_warmup_only,final,0.2975617051124573,0.22792334854602814,0.02793320082128048,0.008641989901661873,0.297669380903244,0.227395161986351,0.06886528432369232,0.03082330897450447,0.3373868763446808,0.8558577299118042,0.25180110335350037,0.0,True,6.08990478515625,0.0,2.706278085708618,0.0,True,1.0,0.1,-0.1,0.06886528432369232,True,True,0
beta_1,1,beta_1_C_persistent,shared_fork,0.18243440985679626,0.1001742035150528,0.040138643234968185,0.014942740090191364,0.18926890194416046,0.10161186754703522,0.03695090487599373,0.014009636826813221,0.4002935290336609,0.9310418963432312,0.30718934535980225,0.0,True,0.13829074800014496,0.13829074800014496,0.013044720515608788,1.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,1,beta_1_C_persistent,final,0.2687069773674011,0.15589852631092072,0.07269816845655441,0.027024399489164352,0.2867729365825653,0.15995796024799347,0.10600709915161133,0.04597862437367439,0.37367480993270874,0.8105804324150085,0.29261675477027893,0.0,True,0.13717828691005707,0.13717828691005707,0.010440373793244362,1.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,1,beta_1_D_persistent,shared_fork,0.18243440985679626,0.1001742035150528,0.040138643234968185,0.014942740090191364,0.18926890194416046,0.10161186754703522,0.03695090487599373,0.014009636826813221,0.4002935290336609,0.9310418963432312,0.30718934535980225,0.0,True,0.13829074800014496,0.13829074800014496,0.013044720515608788,1.0,True,1.0,0.1,-0.1,0.03695090487599373,True,True,0
beta_1,1,beta_1_D_persistent,final,0.27029702067375183,0.15676183998584747,0.07332883775234222,0.026579052209854126,0.289725661277771,0.16086018085479736,0.11292970925569534,0.04720086231827736,0.37445974349975586,0.8332030773162842,0.2911394238471985,0.0,True,0.16341783106327057,0.16341783106327057,0.010790062136948109,1.0,True,1.0,0.1,-0.1,0.11292970925569534,True,True,0
beta_1,2,shared,initialization,0.28108009696006775,0.044185321778059006,0.009315593168139458,0.004052729345858097,0.2825962007045746,0.044585149735212326,0.0,0.0,0.8148577213287354,0.0,0.8148577213287354,0.0,False,3.8309256211732645e-08,3.8309256211732645e-08,1.6932809067247328e-15,1.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,2,shared,after_base_warmup,0.17294055223464966,0.1107080951333046,0.029173195362091064,0.01308596134185791,0.17494609951972961,0.11132718622684479,0.0,0.0,0.4172268211841583,0.0,0.4172268211841583,0.0,False,0.13478097319602966,0.13478097319602966,0.011644172482192516,1.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,2,shared,shared_fork,0.17294055223464966,0.1107080951333046,0.029173195362091064,0.01308596134185791,0.17494609951972961,0.11132718622684479,0.024387717247009277,0.011721786111593246,0.4172268211841583,0.8518304228782654,0.33204376697540283,0.0,True,0.13478097319602966,0.13478097319602966,0.011644172482192516,1.0,True,1.0,0.1,-0.1,0.024387717247009277,True,True,0
beta_1,2,beta_1_C_warmup_only,shared_fork,0.17294055223464966,0.1107080951333046,0.029173195362091064,0.01308596134185791,0.17494609951972961,0.11132718622684479,0.024387717247009277,0.011721786111593246,0.4172268211841583,0.8518304228782654,0.33204376697540283,0.0,True,0.13478097319602966,0.0,0.011644172482192516,0.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,2,beta_1_C_warmup_only,final,0.34175026416778564,0.2389698624610901,0.017935143783688545,0.008379746228456497,0.34247198700904846,0.23856480419635773,0.07194105535745621,0.03694171831011772,0.3666253089904785,0.7864528894424438,0.28798002004623413,0.0,True,2.5280773639678955,0.0,1.2031395435333252,0.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,2,beta_1_D_warmup_only,shared_fork,0.17294055223464966,0.1107080951333046,0.029173195362091064,0.01308596134185791,0.17494609951972961,0.11132718622684479,0.024387717247009277,0.011721786111593246,0.4172268211841583,0.8518304228782654,0.33204376697540283,0.0,True,0.13478097319602966,0.0,0.011644172482192516,0.0,True,1.0,0.1,-0.1,0.024387717247009277,True,True,0
beta_1,2,beta_1_D_warmup_only,final,0.3496124744415283,0.2427888959646225,0.02944769337773323,0.008452063426375389,0.3523169755935669,0.242822527885437,0.07657361775636673,0.03628575801849365,0.3686106503009796,0.8129793405532837,0.28731271624565125,0.0,True,3.9956092834472656,0.0,1.8384653329849243,0.0,True,1.0,0.1,-0.1,0.07657361775636673,True,True,0
beta_1,2,beta_1_C_persistent,shared_fork,0.17294055223464966,0.1107080951333046,0.029173195362091064,0.01308596134185791,0.17494609951972961,0.11132718622684479,0.024387717247009277,0.011721786111593246,0.4172268211841583,0.8518304228782654,0.33204376697540283,0.0,True,0.13478097319602966,0.13478097319602966,0.011644172482192516,1.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,2,beta_1_C_persistent,final,0.27044427394866943,0.17755986750125885,0.06838612258434296,0.027468528598546982,0.27919742465019226,0.18019860982894897,0.08364427834749222,0.0368536114692688,0.3962441086769104,0.7881045341491699,0.3174336552619934,0.0,True,0.11918782442808151,0.11918782442808151,0.010015816427767277,1.0,True,1.0,0.1,0.0,0.0,True,True,0
beta_1,2,beta_1_D_persistent,shared_fork,0.17294055223464966,0.1107080951333046,0.029173195362091064,0.01308596134185791,0.17494609951972961,0.11132718622684479,0.024387717247009277,0.011721786111593246,0.4172268211841583,0.8518304228782654,0.33204376697540283,0.0,True,0.13478097319602966,0.13478097319602966,0.011644172482192516,1.0,True,1.0,0.1,-0.1,0.024387717247009277,True,True,0
beta_1,2,beta_1_D_persistent,final,0.2766619324684143,0.17682437598705292,0.07091029733419418,0.027250191196799278,0.28612878918647766,0.17940467596054077,0.0732206255197525,0.03515520319342613,0.397148996591568,0.7902166843414307,0.3181273341178894,0.0,True,0.1278010606765747,0.1278010606765747,0.010393046773970127,1.0,True,1.0,0.1,-0.1,0.0732206255197525,True,True,0
