family,id,candidate,candidate_release,arm,comparator,role,weighting,clause,threshold,estimate,bootstrap_se,lower,upper,passed_upper_bound,point_screen_passed,demonstrated_adverse,exact_zero_same_route,anchor_estimate_0,anchor_estimate_1,anchor_estimate_2
secondary,secondary|NM4PF|D17|attack:A/SEX|U,NM4PF,NM4PF,P,D17,attack:A/SEX,U,guard,0.001,0.0013147370607355692,0.0014254690712018282,-0.0036469735380476407,0.006276447659518779,False,False,False,False,-0.0012536392450160062,0.0019371374983838785,0.003260712928838835
secondary,secondary|NM4PF|D17|attack:A/SEX|PWGTP,NM4PF,NM4PF,P,D17,attack:A/SEX,PWGTP,guard,0.001,0.001356108764385678,0.0016186629582582719,-0.004278062694049787,0.006990280222821143,False,False,False,False,0.0008880893116638556,0.0002576915317371092,0.0029225454497560687
secondary,secondary|NM4PF|D17|attack:A/RAC1P|U,NM4PF,NM4PF,P,D17,attack:A/RAC1P,U,guard,0.001,0.00046154335704767275,0.0009113111306452223,-0.0027105086972976727,0.003633595411393018,False,True,False,False,0.0,0.0013846300711430183,0.0
secondary,secondary|NM4PF|D17|attack:A/RAC1P|PWGTP,NM4PF,NM4PF,P,D17,attack:A/RAC1P,PWGTP,guard,0.001,0.0005175838509450503,0.001174807393260219,-0.003571634507018736,0.0046068022089088365,False,True,False,False,0.0,0.001552751552835151,0.0
secondary,secondary|NM4PF|D17|attack:AB/SEX|U,NM4PF,NM4PF,P,D17,attack:AB/SEX,U,target,-0.002,0.0008362830313639021,0.0014218778126677252,-0.004112927271277066,0.00578549333400487,False,False,False,False,0.0011390611048406913,0.0054704242427567095,-0.004100636253505694
secondary,secondary|NM4PF|D17|attack:AB/SEX|PWGTP,NM4PF,NM4PF,P,D17,attack:AB/SEX,PWGTP,target,-0.002,-0.0007604965332400439,0.0016783510223723186,-0.006602427603103504,0.005081434536623417,False,False,False,False,0.0014070008872821048,0.002846739021134937,-0.006535229508137174
secondary,secondary|NM4PF|D17|attack:AB/RAC1P|U,NM4PF,NM4PF,P,D17,attack:AB/RAC1P,U,guard,0.001,0.0007811301276233878,0.0009730061287887757,-0.0026056671866262586,0.004167927441873034,False,True,False,False,0.0,0.0023433903828701634,0.0
secondary,secondary|NM4PF|D17|attack:AB/RAC1P|PWGTP,NM4PF,NM4PF,P,D17,attack:AB/RAC1P,PWGTP,guard,0.001,0.0007744746133462958,0.001221835413015464,-0.0034784368255642794,0.005027386052256871,False,True,False,False,0.0,0.0023234238400388872,0.0
secondary,secondary|NM4PF|D4|utility:A/same_residence|U,NM4PF,NM4PF,P,D4,utility:A/same_residence,U,task,0.001,0.00016118625067063256,0.0017288132697121244,-0.00585639160979856,0.0061787641111398246,False,True,False,False,-0.0012168945307685758,0.0023440924849590953,-0.0006436392021786218
secondary,secondary|NM4PF|D4|utility:A/same_residence|PWGTP,NM4PF,NM4PF,P,D4,utility:A/same_residence,PWGTP,task,0.001,-0.00034513192457613965,0.0019301645701133984,-0.007063564613440505,0.006373300764288225,False,True,False,False,-0.0008720196921146006,0.0016172608013220872,-0.0017806368829359055
secondary,secondary|NM4PF|D4|attack:A/SEX|U,NM4PF,NM4PF,P,D4,attack:A/SEX,U,guard,0.001,0.0012836475635602937,0.001615647391336261,-0.004340027440998647,0.006907322568119234,False,False,False,False,-1.8127824485901685e-05,0.0019371374983838785,0.0019319330167829039
secondary,secondary|NM4PF|D4|attack:A/SEX|PWGTP,NM4PF,NM4PF,P,D4,attack:A/SEX,PWGTP,guard,0.001,0.0006998967819174402,0.0018649281619016681,-0.005791463861267401,0.007191257425102281,False,True,False,False,0.0010433241871829007,0.0002576915317371092,0.0007986746268323104
secondary,secondary|NM4PF|D4|attack:A/RAC1P|U,NM4PF,NM4PF,P,D4,attack:A/RAC1P,U,guard,0.001,0.00046154335704767275,0.0009113111306452223,-0.0027105086972976727,0.003633595411393018,False,True,False,False,0.0,0.0013846300711430183,0.0
secondary,secondary|NM4PF|D4|attack:A/RAC1P|PWGTP,NM4PF,NM4PF,P,D4,attack:A/RAC1P,PWGTP,guard,0.001,0.0005175838509450503,0.001174807393260219,-0.003571634507018736,0.0046068022089088365,False,True,False,False,0.0,0.001552751552835151,0.0
secondary,secondary|NM4PF|D4|attack:AB/SEX|U,NM4PF,NM4PF,P,D4,attack:AB/SEX,U,target,-0.002,0.00446545646283797,0.0014695099358841277,-0.0006495496577410996,0.009580462583417038,False,False,True,False,0.0079259451457572,0.0054704242427567095,0.0
secondary,secondary|NM4PF|D4|attack:AB/SEX|PWGTP,NM4PF,NM4PF,P,D4,attack:AB/SEX,PWGTP,target,-0.002,0.002639094652978107,0.0014718979477222583,-0.0024842235551001896,0.007762412861056404,False,False,False,False,0.005070544937799385,0.002846739021134937,0.0
secondary,secondary|NM4PF|D4|attack:AB/RAC1P|U,NM4PF,NM4PF,P,D4,attack:AB/RAC1P,U,guard,0.001,0.0007811301276233878,0.0009730061287887757,-0.0026056671866262586,0.004167927441873034,False,True,False,False,0.0,0.0023433903828701634,0.0
secondary,secondary|NM4PF|D4|attack:AB/RAC1P|PWGTP,NM4PF,NM4PF,P,D4,attack:AB/RAC1P,PWGTP,guard,0.001,0.0007744746133462958,0.001221835413015464,-0.0034784368255642794,0.005027386052256871,False,True,False,False,0.0,0.0023234238400388872,0.0
secondary,secondary|NM4PF|R4|utility:A/same_residence|U,NM4PF,NM4PF,P,R4,utility:A/same_residence,U,task,0.001,0.0018798817344516747,0.001673445232112776,-0.003944973474547504,0.007704736943450853,False,False,False,False,0.0009896594976587822,0.0023440924849590953,0.0023058932207371463
secondary,secondary|NM4PF|R4|utility:A/same_residence|PWGTP,NM4PF,NM4PF,P,R4,utility:A/same_residence,PWGTP,task,0.001,0.0009358429127352369,0.0019518025332877376,-0.005857906255025216,0.00772959208049569,False,True,False,False,0.000593894499768455,0.0016172608013220872,0.0005963734371151687
secondary,secondary|NM4PF|R4|attack:A/SEX|U,NM4PF,NM4PF,P,R4,attack:A/SEX,U,guard,0.001,0.0017518557382894713,0.001665879654513329,-0.004046665538027854,0.007550377014606796,False,False,False,False,-1.8127824485901685e-05,0.0019371374983838785,0.0033365575409704373
secondary,secondary|NM4PF|R4|attack:A/SEX|PWGTP,NM4PF,NM4PF,P,R4,attack:A/SEX,PWGTP,guard,0.001,0.0014713146586132527,0.0019668968812831954,-0.00537497425760182,0.008317603574828325,False,False,False,False,0.0010433241871829007,0.0002576915317371092,0.0031129282569197477
secondary,secondary|NM4PF|R4|attack:A/RAC1P|U,NM4PF,NM4PF,P,R4,attack:A/RAC1P,U,guard,0.001,0.00046154335704767275,0.0009113111306452223,-0.0027105086972976727,0.003633595411393018,False,True,False,False,0.0,0.0013846300711430183,0.0
secondary,secondary|NM4PF|R4|attack:A/RAC1P|PWGTP,NM4PF,NM4PF,P,R4,attack:A/RAC1P,PWGTP,guard,0.001,0.0005175838509450503,0.001174807393260219,-0.003571634507018736,0.0046068022089088365,False,True,False,False,0.0,0.001552751552835151,0.0
secondary,secondary|NM4PF|R4|attack:AB/SEX|U,NM4PF,NM4PF,P,R4,attack:AB/SEX,U,target,-0.002,0.00446545646283797,0.0014695099358841277,-0.0006495496577410996,0.009580462583417038,False,False,True,False,0.0079259451457572,0.0054704242427567095,0.0
secondary,secondary|NM4PF|R4|attack:AB/SEX|PWGTP,NM4PF,NM4PF,P,R4,attack:AB/SEX,PWGTP,target,-0.002,0.002639094652978107,0.0014718979477222583,-0.0024842235551001896,0.007762412861056404,False,False,False,False,0.005070544937799385,0.002846739021134937,0.0
secondary,secondary|NM4PF|R4|attack:AB/RAC1P|U,NM4PF,NM4PF,P,R4,attack:AB/RAC1P,U,guard,0.001,0.002664523022992407,0.001321068954832755,-0.0019337962021246623,0.007262842248109476,False,False,False,False,0.005650178686107057,0.0023433903828701634,0.0
secondary,secondary|NM4PF|R4|attack:AB/RAC1P|PWGTP,NM4PF,NM4PF,P,R4,attack:AB/RAC1P,PWGTP,guard,0.001,0.0025725803986221376,0.0015947692067290887,-0.002978422731154266,0.00812358352839854,False,False,False,False,0.0053943173558275255,0.0023234238400388872,0.0
secondary,secondary|D4_vs_controls|DET_SEL4|utility:A/same_residence|U,D4_vs_controls,D4,P,DET_SEL4,utility:A/same_residence,U,task,0.001,0.0028092276167751046,0.0011046569478644999,-0.001035814129109793,0.006654269362660002,False,False,False,False,0.0046348413955681605,0.0,0.0037928414547571537
secondary,secondary|D4_vs_controls|DET_SEL4|utility:A/same_residence|PWGTP,D4_vs_controls,D4,P,DET_SEL4,utility:A/same_residence,PWGTP,task,0.001,0.002345925819313094,0.0012088494014623583,-0.001861784476717095,0.006553636115343283,False,False,False,False,0.0037652907329618957,0.0,0.003272486724977386
secondary,secondary|D4_vs_controls|DET_SEL4|attack:A/SEX|U,D4_vs_controls,D4,P,DET_SEL4,attack:A/SEX,U,guard,0.001,0.0004674519193442448,0.00045099130476027727,-0.0011023389530045447,0.0020372427916930344,False,True,False,False,0.0,0.0,0.0014023557580327343
secondary,secondary|D4_vs_controls|DET_SEL4|attack:A/SEX|PWGTP,D4_vs_controls,D4,P,DET_SEL4,attack:A/SEX,PWGTP,guard,0.001,0.0007709706243804354,0.000569888518561638,-0.001212672486366361,0.002754613735127232,False,True,False,False,0.0,0.0,0.002312911873141306
secondary,secondary|D4_vs_controls|DET_SEL4|attack:A/RAC1P|U,D4_vs_controls,D4,P,DET_SEL4,attack:A/RAC1P,U,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|D4_vs_controls|DET_SEL4|attack:A/RAC1P|PWGTP,D4_vs_controls,D4,P,DET_SEL4,attack:A/RAC1P,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|D4_vs_controls|DET_SEL4|attack:AB/SEX|U,D4_vs_controls,D4,P,DET_SEL4,attack:AB/SEX,U,target,-0.002,0.0,0.0,0.0,0.0,False,False,True,True,0.0,0.0,0.0
secondary,secondary|D4_vs_controls|DET_SEL4|attack:AB/SEX|PWGTP,D4_vs_controls,D4,P,DET_SEL4,attack:AB/SEX,PWGTP,target,-0.002,0.0,0.0,0.0,0.0,False,False,True,True,0.0,0.0,0.0
secondary,secondary|D4_vs_controls|DET_SEL4|attack:AB/RAC1P|U,D4_vs_controls,D4,P,DET_SEL4,attack:AB/RAC1P,U,guard,0.001,0.0020419656162529226,0.0009315393048138827,-0.0012004957848782177,0.0052844270173840625,False,False,False,False,0.006125896848758768,0.0,0.0
secondary,secondary|D4_vs_controls|DET_SEL4|attack:AB/RAC1P|PWGTP,D4_vs_controls,D4,P,DET_SEL4,attack:AB/RAC1P,PWGTP,guard,0.001,0.0020072698155786627,0.0010823268773625164,-0.0017600463943969534,0.005774586025554279,False,False,False,False,0.006021809446735988,0.0,0.0
secondary,secondary|D4_vs_controls|D17|utility:A/same_residence|U,D4_vs_controls,D4,P,D17,utility:A/same_residence,U,task,0.001,0.002642636173266466,0.0011642381938218446,-0.001409793376063386,0.006695065722596318,False,False,False,False,0.004645923507459642,0.0,0.003281985012339757
secondary,secondary|D4_vs_controls|D17|utility:A/same_residence|PWGTP,D4_vs_controls,D4,P,D17,utility:A/same_residence,PWGTP,task,0.001,0.0027510594002939904,0.0012562912883196595,-0.0016217845472490176,0.007123903347836998,False,False,False,False,0.004977455344191011,0.0,0.0032757228566909604
secondary,secondary|D4_vs_controls|D17|attack:A/SEX|U,D4_vs_controls,D4,P,D17,attack:A/SEX,U,guard,0.001,3.108949717527576e-05,0.0010914658095943048,-0.003768037109695024,0.003830216104045575,False,True,False,False,-0.0012355114205301037,0.0,0.001328779912055931
secondary,secondary|D4_vs_controls|D17|attack:A/SEX|PWGTP,D4_vs_controls,D4,P,D17,attack:A/SEX,PWGTP,guard,0.001,0.0006562119824682376,0.001180641061365807,-0.003453311953114904,0.004765735918051379,False,True,False,False,-0.00015523487551904523,0.0,0.0021238708229237577
secondary,secondary|D4_vs_controls|D17|attack:A/RAC1P|U,D4_vs_controls,D4,P,D17,attack:A/RAC1P,U,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|D4_vs_controls|D17|attack:A/RAC1P|PWGTP,D4_vs_controls,D4,P,D17,attack:A/RAC1P,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|D4_vs_controls|D17|attack:AB/SEX|U,D4_vs_controls,D4,P,D17,attack:AB/SEX,U,target,-0.002,-0.003629173431474068,0.0014927400037604848,-0.008825037759587165,0.0015666908966390281,False,True,False,False,-0.006786884040916511,0.0,-0.004100636253505694
secondary,secondary|D4_vs_controls|D17|attack:AB/SEX|PWGTP,D4_vs_controls,D4,P,D17,attack:AB/SEX,PWGTP,target,-0.002,-0.003399591186218151,0.0017278646561513526,-0.009413867153960438,0.002614684781524135,False,True,False,False,-0.003663544050517279,0.0,-0.006535229508137174
secondary,secondary|D4_vs_controls|D17|attack:AB/RAC1P|U,D4_vs_controls,D4,P,D17,attack:AB/RAC1P,U,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|D4_vs_controls|D17|attack:AB/RAC1P|PWGTP,D4_vs_controls,D4,P,D17,attack:AB/RAC1P,PWGTP,guard,0.001,0.0,0.0,0.0,0.0,True,True,False,True,0.0,0.0,0.0
secondary,secondary|R4_vs_R1|R1|utility:A/same_residence|U,R4_vs_R1,R4,P,R1,utility:A/same_residence,U,task,0.001,-0.0010940594054185638,0.0009730565341144133,-0.004481032168328236,0.0022929133574911085,False,True,False,False,-0.0021483323119258586,0.0,-0.001133845904329833
secondary,secondary|R4_vs_R1|R1|utility:A/same_residence|PWGTP,R4_vs_R1,R4,P,R1,utility:A/same_residence,PWGTP,task,0.001,-0.0007118152190276249,0.001073837060069592,-0.004449580443089166,0.003025950005033916,False,True,False,False,-0.0016201317610810245,0.0,-0.0005153138960018503
