family,id,candidate,arm,comparator,comparator_names,role,weighting,clause,orientation,threshold,estimate,lower,upper,bootstrap_se,anchor_estimates,point_screen_passed,interval_passed,demonstrated_adverse,decision,benefit_over_H,benefit_over_H_lower,benefit_over_H_upper
primary,P_candidate|D17|attack:AB/RAC1P|U,P_candidate,P,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:AB/RAC1P,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0007811301276233878,-0.002473471408403556,0.004035731663650332,0.0009617513802441386,"[0.0,0.0023433903828701634,0.0]",True,False,False,UNRESOLVED,,,
primary,P_candidate|D17|attack:AB/RAC1P|PWGTP,P_candidate,P,D17,"[""A_control_D17_constant_replace_publish_100"",""D17""]",attack:AB/RAC1P,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0007744746133462958,-0.0033514980918353822,0.004900447318527974,0.0012192460121868728,"[0.0,0.0023234238400388872,0.0]",True,False,False,UNRESOLVED,,,
primary,P_candidate|TaskOnly|utility:A/same_residence|U,P_candidate,P,TaskOnly,"[""TaskOnly""]",utility:A/same_residence,U,task,CE_candidate - CE_comparator,0.001,0.01149946550101954,0.00392342427536594,0.01907550672667314,0.002238758884890579,"[0.010929624381777518,0.015781867337198968,0.00778690478408214]",False,False,True,ADVERSE,,,
primary,P_candidate|TaskOnly|utility:A/same_residence|PWGTP,P_candidate,P,TaskOnly,"[""TaskOnly""]",utility:A/same_residence,PWGTP,task,CE_candidate - CE_comparator,0.001,0.011429845957455819,0.003969150401448307,0.01889054151346333,0.0022046736502591433,"[0.009452515820105381,0.016613803125029997,0.008223218927232082]",False,False,True,ADVERSE,,,
primary,P_candidate|TaskOnly|attack:A/SEX|U,P_candidate,P,TaskOnly,"[""TaskOnly""]",attack:A/SEX,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,-0.0008466407685991719,-0.006522539293088492,0.004829257755890147,0.0016772570096913032,"[-0.001505201670736234,0.0012392178390853619,-0.002273938474146644]",True,False,False,UNRESOLVED,,,
primary,P_candidate|TaskOnly|attack:A/SEX|PWGTP,P_candidate,P,TaskOnly,"[""TaskOnly""]",attack:A/SEX,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,-0.00048710235537921835,-0.006890384053898697,0.005916179343140262,0.001892202453502486,"[-0.0006839866133893041,0.0006377668594754173,-0.0014150873122237683]",True,False,False,UNRESOLVED,,,
primary,P_candidate|TaskOnly|attack:A/RAC1P|U,P_candidate,P,TaskOnly,"[""TaskOnly""]",attack:A/RAC1P,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0]",True,True,False,PASS,,,
primary,P_candidate|TaskOnly|attack:A/RAC1P|PWGTP,P_candidate,P,TaskOnly,"[""TaskOnly""]",attack:A/RAC1P,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0]",True,True,False,PASS,,,
primary,P_candidate|TaskOnly|attack:AB/SEX|U,P_candidate,P,TaskOnly,"[""TaskOnly""]",attack:AB/SEX,U,target,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,-0.002,0.00028730459828075003,-0.002126677157819529,0.002701286354381029,0.0007133439409138143,"[0.0,0.0008619137948422501,0.0]",False,False,False,UNRESOLVED,,,
primary,P_candidate|TaskOnly|attack:AB/SEX|PWGTP,P_candidate,P,TaskOnly,"[""TaskOnly""]",attack:AB/SEX,PWGTP,target,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,-0.002,-0.00019266244826367967,-0.0028976775188984142,0.0025123526223710547,0.0007993457721217689,"[0.0,-0.000577987344791039,0.0]",False,False,False,UNRESOLVED,,,
primary,P_candidate|TaskOnly|attack:AB/RAC1P|U,P_candidate,P,TaskOnly,"[""TaskOnly""]",attack:AB/RAC1P,U,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0]",True,True,False,PASS,,,
primary,P_candidate|TaskOnly|attack:AB/RAC1P|PWGTP,P_candidate,P,TaskOnly,"[""TaskOnly""]",attack:AB/RAC1P,PWGTP,guard,CE_comparator - CE_candidate = recovery_candidate - recovery_comparator,0.001,0.0,0.0,0.0,0.0,"[0.0,0.0,0.0]",True,True,False,PASS,,,
primary,P_candidate|A_control_GRADIENT_001|utility:A/same_residence|U,P_candidate,P,A_control_GRADIENT_001,"[""A_control_GRADIENT_001""]",utility:A/same_residence,U,task,CE_candidate - CE_comparator,0.001,0.008874867132156525,0.0033057484116854217,0.014443985852627628,0.0016457030321121971,"[0.008500428869875796,0.012880602582753671,0.005243569943840112]",False,False,True,ADVERSE,,,
primary,P_candidate|A_control_GRADIENT_001|utility:A/same_residence|PWGTP,P_candidate,P,A_control_GRADIENT_001,"[""A_control_GRADIENT_001""]",utility:A/same_residence,PWGTP,task,CE_candidate - CE_comparator,0.001,0.009203166921182787,0.0033001807993303075,0.015106153043035267,0.0017443625548041952,"[0.010506962344304174,0.012475935434805633,0.004626602984438554]",False,False,True,ADVERSE,,,
