seed,role,release,target,family,selected,effective_family,fallback_reason,fit_rows,fit_support,fit_coverage_complete,split,eligible_n,missing_or_inapplicable,n,n_classes,class_schema,weighted,weight_sum,support,weighted_support,prevalence,coverage_complete,raw_coverage_complete,valid_class_mask,log_loss,log_loss_probability_floor,accuracy,balanced_accuracy,observed_balanced_accuracy,auroc,macro_auroc,observed_macro_auroc
0,audit,A_binary_bank,RAC1P,mlp,True,mlp,,2993,"[1704,173,17,0,4,461,22,424,188]",False,test_person_weighted,2982,0,2982,9,"[0,1,2,3,4,5,6,7,8]",True,334141.0,"[1685,130,22,0,9,486,7,465,178]","[192470.0,16914.0,1406.0,0.0,1091.0,48866.0,581.0,56173.0,16640.0]","[0.5760143173091599,0.05061934931660586,0.004207804489721405,0.0,0.0032650886901038783,0.14624365163209543,0.0017387869192945493,0.16811166543465184,0.04979933620836713]",False,False,"[true,true,true,false,true,true,true,true,true]",1.2265525744336756,1e-12,0.5760143173091599,,0.125,,,0.5527531733931483
0,audit,A_binary_bank,RAC1P,histgb,False,histgb,,2993,"[1704,173,17,0,4,461,22,424,188]",False,validation,2985,0,2985,9,"[0,1,2,3,4,5,6,7,8]",False,2985.0,"[1737,144,18,0,11,468,16,409,182]","[1737.0,144.0,18.0,0.0,11.0,468.0,16.0,409.0,182.0]","[0.5819095477386935,0.04824120603015075,0.006030150753768844,0.0,0.0036850921273031824,0.15678391959798996,0.005360134003350084,0.13701842546063653,0.060971524288107204]",False,False,"[true,true,true,false,true,true,true,true,true]",1.4242578705290587,1e-12,0.5460636515912898,,0.15746731426700106,,,0.5534598399387294
0,audit,A_binary_bank,RAC1P,histgb,False,histgb,,2993,"[1704,173,17,0,4,461,22,424,188]",False,test,2982,0,2982,9,"[0,1,2,3,4,5,6,7,8]",False,2982.0,"[1685,130,22,0,9,486,7,465,178]","[1685.0,130.0,22.0,0.0,9.0,486.0,7.0,465.0,178.0]","[0.5650570087189806,0.043594902749832326,0.007377598926894702,0.0,0.0030181086519114686,0.16297786720321933,0.002347417840375587,0.15593561368209255,0.059691482226693494]",False,False,"[true,true,true,false,true,true,true,true,true]",1.4142096016111203,1e-12,0.5308517773306506,,0.14440150628372322,,,0.5692650963509794
0,audit,A_binary_bank,RAC1P,histgb,False,histgb,,2993,"[1704,173,17,0,4,461,22,424,188]",False,test_person_weighted,2982,0,2982,9,"[0,1,2,3,4,5,6,7,8]",True,334141.0,"[1685,130,22,0,9,486,7,465,178]","[192470.0,16914.0,1406.0,0.0,1091.0,48866.0,581.0,56173.0,16640.0]","[0.5760143173091599,0.05061934931660586,0.004207804489721405,0.0,0.0032650886901038783,0.14624365163209543,0.0017387869192945493,0.16811166543465184,0.04979933620836713]",False,False,"[true,true,true,false,true,true,true,true,true]",1.3644304436262438,1e-12,0.5373390275362796,,0.14210915261502624,,,0.5680138142657819
0,transfer,B_rich_bank,same_residence,logistic,False,logistic,,2048,"[500,1548]",True,validation,2984,0,2984,2,"[0,1]",False,2984.0,"[700,2284]","[700.0,2284.0]","[0.23458445040214476,0.7654155495978552]",True,True,"[true,true]",0.519227354419712,1e-12,0.7694369973190348,0.5432474355766825,0.5432474355766825,0.6547601325994497,0.6547601325994495,0.6547601325994495
0,transfer,B_rich_bank,same_residence,logistic,False,logistic,,2048,"[500,1548]",True,test,2982,0,2982,2,"[0,1]",False,2982.0,"[660,2322]","[660.0,2322.0]","[0.22132796780684105,0.778672032193159]",True,True,"[true,true]",0.5138198831475276,1e-12,0.7702883970489605,0.5233556495184402,0.5233556495184402,0.6351427713830814,0.6351427713830815,0.6351427713830815
0,transfer,B_rich_bank,same_residence,logistic,False,logistic,,2048,"[500,1548]",True,test_person_weighted,2982,0,2982,2,"[0,1]",True,334141.0,"[660,2322]","[69119.0,265022.0]","[0.20685578842464708,0.793144211575353]",True,True,"[true,true]",0.4963126387966669,1e-12,0.787212583909188,0.5201896992351407,0.5201896992351407,0.6312755625458981,0.6312755625458981,0.6312755625458981
0,transfer,B_rich_bank,same_residence,mlp,True,mlp,,2048,"[500,1548]",True,validation,2984,0,2984,2,"[0,1]",False,2984.0,"[700,2284]","[700.0,2284.0]","[0.23458445040214476,0.7654155495978552]",True,True,"[true,true]",0.5189474834374604,1e-12,0.7620643431635389,0.5290192644483362,0.5290192644483362,0.6604775456592444,0.6604775456592444,0.6604775456592444
0,transfer,B_rich_bank,same_residence,mlp,True,mlp,,2048,"[500,1548]",True,test,2982,0,2982,2,"[0,1]",False,2982.0,"[660,2322]","[660.0,2322.0]","[0.22132796780684105,0.778672032193159]",True,True,"[true,true]",0.5090248251857181,1e-12,0.7719651240778002,0.5217210868373658,0.5217210868373658,0.6508215227207477,0.6508215227207477,0.6508215227207477
0,transfer,B_rich_bank,same_residence,mlp,True,mlp,,2048,"[500,1548]",True,test_person_weighted,2982,0,2982,2,"[0,1]",True,334141.0,"[660,2322]","[69119.0,265022.0]","[0.20685578842464708,0.793144211575353]",True,True,"[true,true]",0.4900690778275229,1e-12,0.7877243439146947,0.5208545389295913,0.5208545389295913,0.6523361910342683,0.6523361910342682,0.6523361910342682
