attribute_i,attribute_j,method,delta,r_squared,adj_pass,allowed_task_acc,delta_i,delta_j,r2_i,r2_j
education,marital-status,sequential,0.397707,0.580144,False,0.810226,-0.136121,0.397707,0.580144,0.476137
education,occupation,additive,0.761261,0.59761,False,0.811089,-0.136453,0.761261,0.59761,0.506522
education,occupation,sequential,0.727463,0.580144,False,0.810226,-0.136121,0.727463,0.580144,0.477749
education,relationship,additive,0.496639,0.59761,False,0.811089,-0.136453,0.496639,0.59761,0.512353
education,relationship,sequential,0.460052,0.580144,False,0.810226,-0.136121,0.460052,0.580144,0.496816
education,race,additive,0.049571,0.59761,False,0.811089,-0.136453,0.049571,0.59761,0.21558
education,race,sequential,0.043329,0.580144,False,0.810226,-0.136121,0.043329,0.580144,0.19853
education,sex,additive,0.229853,0.59761,False,0.811089,-0.136453,0.229853,0.59761,0.422002
education,sex,sequential,0.192336,0.580144,False,0.810226,-0.136121,0.192336,0.580144,0.360951
education,capital-gain,additive,0.036702,0.59761,False,0.811089,-0.136453,0.036702,0.59761,0.314019
education,capital-gain,sequential,0.034378,0.580144,False,0.810226,-0.136121,0.034378,0.580144,0.31588
education,capital-loss,additive,0.046284,0.925432,False,0.811089,-0.136453,0.046284,0.59761,0.925432
education,capital-loss,sequential,0.046218,0.916256,False,0.810226,-0.136121,0.046218,0.580144,0.916256
education,hours-per-week,additive,0.355865,0.59761,False,0.811089,-0.136453,0.355865,0.59761,0.258078
education,hours-per-week,sequential,0.355002,0.580144,False,0.810226,-0.136121,0.355002,0.580144,0.257777
education,native-country,additive,0.028169,0.59761,False,0.811089,-0.136453,0.028169,0.59761,0.23846
education,native-country,sequential,0.026708,0.580144,False,0.810226,-0.136121,0.026708,0.580144,0.250563
education-num,marital-status,additive,0.553076,0.517585,False,0.811089,0.553076,0.440801,0.488937,0.517585
education-num,marital-status,sequential,0.543382,0.479732,False,0.810226,0.543382,0.397707,0.479732,0.476137
education-num,occupation,additive,0.761261,0.506522,False,0.811089,0.553076,0.761261,0.488937,0.506522
education-num,occupation,sequential,0.727463,0.479732,False,0.810226,0.543382,0.727463,0.479732,0.477749
education-num,relationship,additive,0.553076,0.512353,False,0.811089,0.553076,0.496639,0.488937,0.512353
education-num,relationship,sequential,0.543382,0.496816,False,0.810226,0.543382,0.460052,0.479732,0.496816
education-num,race,additive,0.553076,0.488937,False,0.811089,0.553076,0.049571,0.488937,0.21558
education-num,race,sequential,0.543382,0.479732,False,0.810226,0.543382,0.043329,0.479732,0.19853
education-num,sex,additive,0.553076,0.488937,False,0.811089,0.553076,0.229853,0.488937,0.422002
education-num,sex,sequential,0.543382,0.479732,False,0.810226,0.543382,0.192336,0.479732,0.360951
education-num,capital-gain,additive,0.553076,0.488937,False,0.811089,0.553076,0.036702,0.488937,0.314019
education-num,capital-gain,sequential,0.543382,0.479732,False,0.810226,0.543382,0.034378,0.479732,0.31588
education-num,capital-loss,additive,0.553076,0.925432,False,0.811089,0.553076,0.046284,0.488937,0.925432
education-num,capital-loss,sequential,0.543382,0.916256,False,0.810226,0.543382,0.046218,0.479732,0.916256
education-num,hours-per-week,additive,0.553076,0.488937,False,0.811089,0.553076,0.355865,0.488937,0.258078
education-num,hours-per-week,sequential,0.543382,0.479732,False,0.810226,0.543382,0.355002,0.479732,0.257777
education-num,native-country,additive,0.553076,0.488937,False,0.811089,0.553076,0.028169,0.488937,0.23846
education-num,native-country,sequential,0.543382,0.479732,False,0.810226,0.543382,0.026708,0.479732,0.250563
marital-status,occupation,additive,0.761261,0.517585,False,0.811089,0.440801,0.761261,0.517585,0.506522
marital-status,occupation,sequential,0.727463,0.477749,False,0.810226,0.397707,0.727463,0.476137,0.477749
marital-status,relationship,additive,0.496639,0.517585,False,0.811089,0.440801,0.496639,0.517585,0.512353
marital-status,relationship,sequential,0.460052,0.496816,False,0.810226,0.397707,0.460052,0.476137,0.496816
marital-status,race,additive,0.440801,0.517585,False,0.811089,0.440801,0.049571,0.517585,0.21558
marital-status,race,sequential,0.397707,0.476137,False,0.810226,0.397707,0.043329,0.476137,0.19853
marital-status,sex,additive,0.440801,0.517585,False,0.811089,0.440801,0.229853,0.517585,0.422002
marital-status,sex,sequential,0.397707,0.476137,False,0.810226,0.397707,0.192336,0.476137,0.360951
marital-status,capital-gain,additive,0.440801,0.517585,False,0.811089,0.440801,0.036702,0.517585,0.314019
marital-status,capital-gain,sequential,0.397707,0.476137,False,0.810226,0.397707,0.034378,0.476137,0.31588
marital-status,capital-loss,additive,0.440801,0.925432,False,0.811089,0.440801,0.046284,0.517585,0.925432
marital-status,capital-loss,sequential,0.397707,0.916256,False,0.810226,0.397707,0.046218,0.476137,0.916256
marital-status,hours-per-week,additive,0.440801,0.517585,False,0.811089,0.440801,0.355865,0.517585,0.258078
marital-status,hours-per-week,sequential,0.397707,0.476137,False,0.810226,0.397707,0.355002,0.476137,0.257777
marital-status,native-country,additive,0.440801,0.517585,False,0.811089,0.440801,0.028169,0.517585,0.23846
marital-status,native-country,sequential,0.397707,0.476137,False,0.810226,0.397707,0.026708,0.476137,0.250563
occupation,relationship,additive,0.761261,0.512353,False,0.811089,0.761261,0.496639,0.506522,0.512353
occupation,relationship,sequential,0.727463,0.496816,False,0.810226,0.727463,0.460052,0.477749,0.496816
occupation,race,additive,0.761261,0.506522,False,0.811089,0.761261,0.049571,0.506522,0.21558
occupation,race,sequential,0.727463,0.477749,False,0.810226,0.727463,0.043329,0.477749,0.19853
occupation,sex,additive,0.761261,0.506522,False,0.811089,0.761261,0.229853,0.506522,0.422002
occupation,sex,sequential,0.727463,0.477749,False,0.810226,0.727463,0.192336,0.477749,0.360951
occupation,capital-gain,additive,0.761261,0.506522,False,0.811089,0.761261,0.036702,0.506522,0.314019
occupation,capital-gain,sequential,0.727463,0.477749,False,0.810226,0.727463,0.034378,0.477749,0.31588
occupation,capital-loss,additive,0.761261,0.925432,False,0.811089,0.761261,0.046284,0.506522,0.925432
occupation,capital-loss,sequential,0.727463,0.916256,False,0.810226,0.727463,0.046218,0.477749,0.916256
occupation,hours-per-week,additive,0.761261,0.506522,False,0.811089,0.761261,0.355865,0.506522,0.258078
occupation,hours-per-week,sequential,0.727463,0.477749,False,0.810226,0.727463,0.355002,0.477749,0.257777
occupation,native-country,additive,0.761261,0.506522,False,0.811089,0.761261,0.028169,0.506522,0.23846
occupation,native-country,sequential,0.727463,0.477749,False,0.810226,0.727463,0.026708,0.477749,0.250563
relationship,race,additive,0.496639,0.512353,False,0.811089,0.496639,0.049571,0.512353,0.21558
relationship,race,sequential,0.460052,0.496816,False,0.810226,0.460052,0.043329,0.496816,0.19853
relationship,sex,additive,0.496639,0.512353,False,0.811089,0.496639,0.229853,0.512353,0.422002
relationship,sex,sequential,0.460052,0.496816,False,0.810226,0.460052,0.192336,0.496816,0.360951
relationship,capital-gain,additive,0.496639,0.512353,False,0.811089,0.496639,0.036702,0.512353,0.314019
relationship,capital-gain,sequential,0.460052,0.496816,False,0.810226,0.460052,0.034378,0.496816,0.31588
relationship,capital-loss,additive,0.496639,0.925432,False,0.811089,0.496639,0.046284,0.512353,0.925432
relationship,capital-loss,sequential,0.460052,0.916256,False,0.810226,0.460052,0.046218,0.496816,0.916256
relationship,hours-per-week,additive,0.496639,0.512353,False,0.811089,0.496639,0.355865,0.512353,0.258078
relationship,hours-per-week,sequential,0.460052,0.496816,False,0.810226,0.460052,0.355002,0.496816,0.257777
relationship,native-country,additive,0.496639,0.512353,False,0.811089,0.496639,0.028169,0.512353,0.23846
relationship,native-country,sequential,0.460052,0.496816,False,0.810226,0.460052,0.026708,0.496816,0.250563
race,sex,additive,0.229853,0.422002,False,0.811089,0.049571,0.229853,0.21558,0.422002
race,sex,sequential,0.192336,0.360951,False,0.810226,0.043329,0.192336,0.19853,0.360951
race,capital-gain,additive,0.049571,0.314019,False,0.811089,0.049571,0.036702,0.21558,0.314019
race,capital-gain,sequential,0.043329,0.31588,False,0.810226,0.043329,0.034378,0.19853,0.31588
race,capital-loss,additive,0.049571,0.925432,False,0.811089,0.049571,0.046284,0.21558,0.925432
